CO,Proximity_to_Industrial_Areas,SO2
0.3485342019543973,0.16309012875536477,0.20489977728285078
0.3224755700325732,0.1502145922746781,0.21603563474387527
0.3192182410423452,0.11587982832618027,0.2806236080178174
0.1628664495114006,0.3690987124463519,0.11804008908685969
0.11726384364820847,0.43776824034334766,0.12472160356347438
0.38110749185667747,0.025751072961373384,0.39866369710467703
0.37459283387622144,0.09012875536480686,0.28285077951002224
0.2377850162866449,0.16309012875536477,0.3028953229398664
0.44951140065146566,0.12446351931330474,0.26280623608017817
0.3387622149837133,0.10300429184549356,0.34075723830734966
0.06514657980456023,0.4506437768240343,0.13140311804008908
0.28664495114006516,0.1459227467811159,0.4298440979955457
0.14332247557003258,0.3304721030042918,0.14699331848552338
0.12052117263843648,0.3648068669527897,0.10022271714922049
0.17263843648208466,0.33905579399141633,0.1403118040089087
0.27035830618892503,0.23175965665236054,0.26280623608017817
0.1009771986970684,0.5107296137339057,0.0824053452115813
0.3908794788273615,0.06866952789699568,0.30512249443207123
0.28338762214983715,0.1545064377682403,0.15812917594654788
0.15635179153094458,0.22317596566523606,0.26057906458797325
0.10423452768729641,0.23605150214592274,0.20935412026726058
0.1270358306188925,0.5107296137339057,0.0378619153674833
0.10749185667752442,0.3218884120171674,0.10022271714922049
0.1237785016286645,0.3733905579399141,0.10244988864142539
0.09446254071661236,0.6609442060085837,0.051224944320712694
0.09120521172638435,0.38626609442060084,0.10690423162583519
0.14332247557003258,0.3261802575107296,0.11581291759465479
0.3908794788273615,0.042918454935622324,0.1403118040089087
0.1237785016286645,0.3304721030042918,0.0645879732739421
0.5407166123778502,0.017167381974248913,0.7706013363028954
0.3680781758957654,0.042918454935622324,0.5033407572383074
0.1009771986970684,0.3605150214592275,0.11804008908685969
0.3908794788273615,0.111587982832618,0.26057906458797325
0.2931596091205212,0.3218884120171674,0.44097995545657015
0.08469055374592832,0.3562231759656653,0.133630289532294
0.3452768729641693,0.2103004291845494,0.1514476614699332
0.10749185667752442,0.3690987124463519,0.066815144766147
0.21824104234527686,0.4592274678111588,0.1358574610244989
0.1009771986970684,0.3304721030042918,0.0824053452115813
0.4788273615635179,0.10300429184549356,0.6837416481069042
0.6384364820846905,0.0,0.6503340757238307
0.35830618892508137,0.07725321888412015,0.5189309576837416
0.3420195439739413,0.2575107296137339,0.289532293986637
0.27035830618892503,0.12875536480686695,0.33184855233853006
0.24429967426710092,0.24034334763948495,0.3518930957683742
0.08794788273615634,0.39055793991416304,0.0779510022271715
