CO,Proximity_to_Industrial_Areas
0.3485342019543973,0.16309012875536477
0.3224755700325732,0.1502145922746781
0.3192182410423452,0.11587982832618027
0.1628664495114006,0.3690987124463519
0.11726384364820847,0.43776824034334766
0.38110749185667747,0.025751072961373384
0.37459283387622144,0.09012875536480686
0.2377850162866449,0.16309012875536477
0.44951140065146566,0.12446351931330474
0.3387622149837133,0.10300429184549356
0.06514657980456023,0.4506437768240343
0.28664495114006516,0.1459227467811159
0.14332247557003258,0.3304721030042918
0.12052117263843648,0.3648068669527897
0.17263843648208466,0.33905579399141633
0.27035830618892503,0.23175965665236054
0.1009771986970684,0.5107296137339057
0.3908794788273615,0.06866952789699568
0.28338762214983715,0.1545064377682403
0.15635179153094458,0.22317596566523606
0.10423452768729641,0.23605150214592274
0.1270358306188925,0.5107296137339057
0.10749185667752442,0.3218884120171674
0.1237785016286645,0.3733905579399141
0.09446254071661236,0.6609442060085837
0.09120521172638435,0.38626609442060084
0.14332247557003258,0.3261802575107296
0.3908794788273615,0.042918454935622324
0.1237785016286645,0.3304721030042918
0.5407166123778502,0.017167381974248913
0.3680781758957654,0.042918454935622324
0.1009771986970684,0.3605150214592275
0.3908794788273615,0.111587982832618
0.2931596091205212,0.3218884120171674
0.08469055374592832,0.3562231759656653
0.3452768729641693,0.2103004291845494
0.10749185667752442,0.3690987124463519
0.21824104234527686,0.4592274678111588
0.1009771986970684,0.3304721030042918
0.4788273615635179,0.10300429184549356
0.6384364820846905,0.0
0.35830618892508137,0.07725321888412015
0.3420195439739413,0.2575107296137339
0.27035830618892503,0.12875536480686695
0.24429967426710092,0.24034334763948495
0.08794788273615634,0.39055793991416304
0.17263843648208466,0.4463519313304721
0.07817589576547229,0.3605150214592275
0.08794788273615634,0.3304721030042918
0.30618892508143325,0.4592274678111588
0.6579804560260586,0.012875536480686678
0.05537459283387619,0.34763948497854075
0.260586319218241,0.16309012875536477
0.537459283387622,0.20600858369098712
0.42345276872964166,0.051502145922746795
0.2996742671009772,0.1502145922746781
0.20846905537459282,0.2188841201716738
0.27361563517915305,0.13733905579399142
0.2899022801302932,0.24034334763948495
0.35504885993485336,0.12446351931330474
0.16938110749185664,0.3304721030042918
0.37785016286644946,0.09871244635193133
0.537459283387622,0.18454935622317598
0.09446254071661236,0.35193133047210295
0.16612377850162863,0.3648068669527897
0.058631921824104205,0.3562231759656653
0.4592833876221498,0.18454935622317598
0.794788273615635,0.11587982832618027
0.1628664495114006,0.3562231759656653
0.25081433224755695,0.22746781115879827
0.08794788273615634,0.3261802575107296
0.257328990228013,0.30042918454935624
0.4625407166123777,0.10300429184549356
0.10749185667752442,0.3218884120171674
0.1237785016286645,0.3304721030042918
0.27035830618892503,0.20600858369098712
0.27035830618892503,0.12017167381974247
0.11400651465798045,0.34334763948497854
